platform,video_id,title,channel,published_at,views,likes,comments,url
YouTube,tpmeQZaoy84,Postpace Review ❇️ Content Optimization Tool [Lifetime Deal] 🔥,Future Systems,2021-11-15T06:17:42Z,1357,30,22,https://www.youtube.com/watch?v=tpmeQZaoy84
YouTube,QhSMsPoNxnU,SEO Basics Are Not Enough To Rank On Google Anymore…,Neil Patel,2023-07-16T15:00:15Z,234703,4792,85,https://www.youtube.com/watch?v=QhSMsPoNxnU
YouTube,Z4sNX9AeVNU,SEO - On Page Content Optimization,TutorialsPoint,2018-01-29T09:43:15Z,3740,53,2,https://www.youtube.com/watch?v=Z4sNX9AeVNU
YouTube,sVNJ604DHg0,How I Automated Content Optimization to Dominate Google Rankings,Marvomatic | AI Automations,2025-10-27T14:56:02Z,207,9,1,https://www.youtube.com/watch?v=sVNJ604DHg0
YouTube,d2Bn5MFCFKs,How to Create SEO Content That Ranks (2025 Update),Nathan Gotch,2025-05-12T11:33:13Z,21704,752,80,https://www.youtube.com/watch?v=d2Bn5MFCFKs
YouTube,5gRjseWJYW4,Social Media Strategy? How to Build Your Brand Using SMMGo Tools,SMMGo,2025-10-28T11:02:20Z,7284,1094,12,https://www.youtube.com/watch?v=5gRjseWJYW4
YouTube,Z1edvos_nnc,How to create a social media strategy for ANY brand,Latasha James,2024-08-23T14:08:48Z,108703,3329,84,https://www.youtube.com/watch?v=Z1edvos_nnc
YouTube,x60gG9zi0bI,5 Proven Social Media Marketing Strategies to Grow ANY Business,Adam Erhart,2025-09-05T13:02:02Z,7660,1216,7,https://www.youtube.com/watch?v=x60gG9zi0bI
YouTube,HjUJf5bKCpU,Full Social Media Marketing Strategy In 8 Minutes | GaryVee Q&amp;A Session,GaryVee,2024-10-15T19:00:09Z,243168,5199,212,https://www.youtube.com/watch?v=HjUJf5bKCpU
YouTube,hCJGFdGBP5o,7 Social Media Marketing Strategies That ACTUALLY Work in 2025,Adam Erhart,2025-08-19T13:01:17Z,29727,1642,40,https://www.youtube.com/watch?v=hCJGFdGBP5o
YouTube,VS0Sao1oHlw,How To Create a Social Media Strategy Plan (FREE Template),HubSpot Marketing,2024-01-29T13:54:45Z,41808,1221,30,https://www.youtube.com/watch?v=VS0Sao1oHlw
YouTube,051VKKdTrSI,2025 Social Media Strategy for artists in 10 seconds,GaryVee,2025-02-19T20:00:00Z,12730,505,9,https://www.youtube.com/watch?v=051VKKdTrSI
YouTube,sTCL0TH5Mj0,Create a your social media strategy for 2025 [+ free template!],Jade Beason,2024-02-25T18:04:59Z,73370,4446,149,https://www.youtube.com/watch?v=sTCL0TH5Mj0
YouTube,tjOlnKAG2kQ,#socialmediastrategy,Dipendrababu88,2025-10-26T11:35:11Z,2220,54,0,https://www.youtube.com/watch?v=tjOlnKAG2kQ
YouTube,X_FY5FoS6_8,Dominate Social Media in 45 seconds With This Strategy,GaryVee Video Experience,2022-08-11T20:00:06Z,850948,39875,390,https://www.youtube.com/watch?v=X_FY5FoS6_8
YouTube,5d2mSejXIgY,The Best Marketing Automation Tools in 2025,Marketing Explained,2025-08-19T13:00:16Z,2552,73,0,https://www.youtube.com/watch?v=5d2mSejXIgY
YouTube,JOzPY1ozi-w,Marketing Automation 101: The Definitive Guide for 2025,Marketing Explained,2024-09-03T13:00:29Z,14681,240,97,https://www.youtube.com/watch?v=JOzPY1ozi-w
YouTube,k2tL3mrcCTg,Tools For Marketing Automation | Marketing Automation Tools |  Digital Scholar,Digital Scholar,2023-03-25T06:45:02Z,47115,1772,7,https://www.youtube.com/watch?v=k2tL3mrcCTg
YouTube,mgmAe7mh5Tg,Top 5 BEST Marketing Automation Tools | The Expert Advice! (2024),Consumer Desire,2024-11-18T23:46:59Z,5695,73,13,https://www.youtube.com/watch?v=mgmAe7mh5Tg
YouTube,9qfKppGr2Uo,Marketing Automation Tutorial | Digital Marketing Tutorial For Beginners | Simplilearn,Simplilearn,2017-08-02T06:30:00Z,86581,1120,36,https://www.youtube.com/watch?v=9qfKppGr2Uo
YouTube,C2dEbhkQ06I,Introduction to Marketing Automations | Marketing Automation Course | Umar Tazkeer,Umar Tazkeer ,2023-06-30T13:30:04Z,25999,713,52,https://www.youtube.com/watch?v=C2dEbhkQ06I
YouTube,de-nSFr2b34,What is Automation in Digital Marketing (for Beginners) ? - Umar Tazkeer,Umar Tazkeer ,2023-09-06T03:30:24Z,9986,282,14,https://www.youtube.com/watch?v=de-nSFr2b34
YouTube,1_FlaBsvdt4,5 Best AI Agents for Digital Marketing Automation In 2025,Business Toolset,2025-07-30T18:45:01Z,762,19,0,https://www.youtube.com/watch?v=1_FlaBsvdt4
YouTube,RX3nmBjQnoQ,How I Automated My Entire Agency with These 10 Powerful AI Tools | Alok Badatia,Alok kumar Badatia,2025-10-28T13:15:06Z,298,35,1,https://www.youtube.com/watch?v=RX3nmBjQnoQ
YouTube,zw-nBnWbQD4,How to Automate Your Marketing in Just 2 Weeks (Step-by-Step Tutorial),HubSpot Marketing,2025-05-19T17:01:19Z,14289,544,25,https://www.youtube.com/watch?v=zw-nBnWbQD4
YouTube,ccaKaPHrNa8,What is Growth Hacking? (Drop Box Example),Neil Patel,2017-09-12T19:13:55Z,66530,853,36,https://www.youtube.com/watch?v=ccaKaPHrNa8
YouTube,R8DjaBleN7E,The growth hacks that made these startups,Slidebean,2022-09-02T12:30:07Z,115407,4035,92,https://www.youtube.com/watch?v=R8DjaBleN7E
YouTube,zOt13jc4-_o,WHAT is Growth Hacking? + Why YOU Need it,Foundr ,2019-09-18T16:00:11Z,3476,94,15,https://www.youtube.com/watch?v=zOt13jc4-_o
YouTube,iKXPmusQ5Pw,Growth Hacking - How To Become a World-Class Growth Hacker,Dan Martell,2020-07-13T11:05:59Z,52186,788,44,https://www.youtube.com/watch?v=iKXPmusQ5Pw
YouTube,CxxFkB0HVsI,Is Growth Hacking for everyone?🛠️,Vaibhav Sisinty,2023-05-18T14:30:03Z,7243,330,3,https://www.youtube.com/watch?v=CxxFkB0HVsI
YouTube,nzGGWoJky5M,Famous Growth Hacks Used by Airbnb,Product Alliance,2020-08-14T23:27:12Z,24007,516,4,https://www.youtube.com/watch?v=nzGGWoJky5M
YouTube,nCP4hXgE-Nk,&quot;Growth Hacker Marketing&quot; by Ryan Holiday - BOOK SUMMARY,Aram Taghavi,2015-04-24T20:30:47Z,146118,2622,58,https://www.youtube.com/watch?v=nCP4hXgE-Nk
YouTube,ajccEoAhfmc,Growth Hacking: Data and Product Driven Marketing - David Arnoux,O'Reilly,2015-10-27T15:42:41Z,90420,1644,37,https://www.youtube.com/watch?v=ajccEoAhfmc
YouTube,CZoWpJe3WqQ,business mindset,OSAMA1EDIT,2025-10-26T23:00:13Z,44,5,1,https://www.youtube.com/watch?v=CZoWpJe3WqQ
YouTube,i0nxESR9sFs,Sean Ellis talks about the 3 stages of Growth Hacking Success,StartCon,2016-10-19T11:40:44Z,116267,1758,33,https://www.youtube.com/watch?v=i0nxESR9sFs
YouTube,jiZ9DBiPpUA,Best AI Tools You Need for Digital Marketing in 2025,WsCube Tech,2025-05-31T13:30:41Z,38480,1432,94,https://www.youtube.com/watch?v=jiZ9DBiPpUA
YouTube,eitp6_-q0Qc,Top 6 AI Marketing Tools (You don&#39;t know about),Website Learners,2023-11-11T11:00:40Z,166982,6206,158,https://www.youtube.com/watch?v=eitp6_-q0Qc
YouTube,OQIBf2mIs58,The 10 BEST Digital Marketing Tools of 2025 (Proven &amp; Profitable),Adam Erhart,2025-09-02T13:00:46Z,10229,1338,24,https://www.youtube.com/watch?v=OQIBf2mIs58
YouTube,QZHjTPC6kfU,TOP 6 FREE AI Tools For Digital Marketers 😱 (2024 Updated),Damini Tripathi,2024-08-08T17:07:08Z,51212,2614,139,https://www.youtube.com/watch?v=QZHjTPC6kfU
YouTube,yOILgTpXftc,9 AI Tools You MUST Be Using in 2025.,Ishan Sharma,2024-12-22T13:30:29Z,533896,19441,513,https://www.youtube.com/watch?v=yOILgTpXftc
YouTube,nkuPUJVzB_E,"How To Use AI to Start, Build &amp; Grow Your Small Business (20 AI Marketing Tools!)",HubSpot Marketing,2025-02-05T18:15:02Z,117755,5091,157,https://www.youtube.com/watch?v=nkuPUJVzB_E
YouTube,7m6Vi_HzSbU,Top 10 AI Tools For Digital Marketing In 2025 | Gen AI Digital Marketing Tools 2025 | Simplilearn,Simplilearn,2024-11-26T14:37:32Z,20730,426,9,https://www.youtube.com/watch?v=7m6Vi_HzSbU
YouTube,kkYQ0y9CGTU,"I Tested 500+ AI Tools, These 10 Will Make You Rich",Dan Martell,2025-09-27T13:01:28Z,692345,28337,1323,https://www.youtube.com/watch?v=kkYQ0y9CGTU
YouTube,HaBV4I6vTfE,Double Your Salary: Top 3 AI Marketing Tools Marketers Are Hiding,The AI Edge,2025-10-26T12:48:04Z,34,0,1,https://www.youtube.com/watch?v=HaBV4I6vTfE
YouTube,Ej9zCLI2ZdY,10 Must-Try AI Tools For Your Business (2025),Hostinger Academy,2024-11-07T13:00:08Z,160832,2848,147,https://www.youtube.com/watch?v=Ej9zCLI2ZdY
